# log_delta log_M
-3.690692282583296180e+00 5.584240084821559869e+00
-2.996869318845544861e+00 5.656609585805898455e+00
-2.589821828605083365e+00 5.701144825457713949e+00
-2.299638397741274876e+00 5.732659012193472847e+00
-2.073055305119188230e+00 5.775339363898693179e+00
-1.886329481022277932e+00 5.798893970044064261e+00
-1.726775205536482671e+00 5.823288230557763789e+00
-1.586797245166799319e+00 5.846613613515382113e+00
-1.461470680245424258e+00 5.864451796496159552e+00
-1.347403622729629324e+00 5.877512593840587662e+00
-1.242143521032061715e+00 5.889081564376359879e+00
