# T M_medias E_medias X_medias C_medias
3.299999999999999822e+00 4.353390466095338951e+01 -3.569351306486930331e-01 3.195939655641232662e+02 1.839345226313288302e-04
3.187110678701672750e+00 4.698165018349816791e+01 -3.744978550214496660e-01 3.804565294243708991e+02 2.054035338635721631e-04
3.099531754076627621e+00 5.052389476105238941e+01 -3.897406025939743057e-01 4.599183584243673408e+02 2.266331252847962195e-04
3.027397653439867220e+00 5.347546524534754298e+01 -4.034983150168506838e-01 5.211525751783110536e+02 2.450110755369381437e-04
2.965654269032390378e+00 5.688867111328886494e+01 -4.158573914260869642e-01 5.960676255856413945e+02 2.605288277270008694e-04
2.911361872186552624e+00 6.048887511124888761e+01 -4.277412225877752494e-01 6.771639701942369811e+02 2.803261299804389681e-04
2.862657405044192860e+00 6.363086369136308917e+01 -4.388777112228879895e-01 7.681854289064029899e+02 2.959250389824198820e-04
2.818284234889143480e+00 6.742132578674213050e+01 -4.497642523574765239e-01 8.658380658771792469e+02 3.190592022641012561e-04
2.777353434544743038e+00 7.199588004119958384e+01 -4.607200427995714054e-01 9.675004839844268645e+02 3.328123002135820597e-04
2.739211967094555611e+00 7.505930940690592479e+01 -4.711390886091135211e-01 1.049421286493081425e+03 3.567895517774411634e-04
2.703365006581363694e+00 7.994080059199407629e+01 -4.820962790372095852e-01 1.222360695828695498e+03 3.865670943229650072e-04
2.669427715417153291e+00 8.394780052199477893e+01 -4.913131368686305400e-01 1.338215502843643435e+03 4.064942770157027770e-04
2.637094001176676805e+00 9.012171878281216664e+01 -5.029545204547954951e-01 1.502636355279126974e+03 4.299329506930399739e-04
2.606115534909964726e+00 9.692333076669233094e+01 -5.142251577484229230e-01 1.779088679897530938e+03 4.670889610251896008e-04
2.576287220949683654e+00 1.029247107528924658e+02 -5.248932010679896454e-01 1.833597816389828267e+03 4.833482523223816651e-04
2.547436860543496273e+00 1.117815421845781572e+02 -5.374764752352484409e-01 2.135712046118776470e+03 5.361814165155157031e-04
2.519417620285734571e+00 1.205776742232577732e+02 -5.499425005749948303e-01 2.405679483719146901e+03 5.769671021585483922e-04
2.492102422316496479e+00 1.329753902460975326e+02 -5.629456205437954885e-01 2.620459561107233640e+03 6.292488582779491493e-04
2.465379678390732465e+00 1.403388766112338999e+02 -5.758347416525834150e-01 2.953315116078163101e+03 6.942724473763376997e-04
2.439149979525882639e+00 1.553827261727382734e+02 -5.925113248867507343e-01 3.325867681120574161e+03 7.878752647190488201e-04
2.413323473834621868e+00 1.683270367296327095e+02 -6.061451885481144997e-01 3.416498370046437230e+03 8.208513661585698732e-04
2.387817743931277548e+00 1.909666103338966536e+02 -6.280130698693007218e-01 3.625981729673043901e+03 9.173324190014722768e-04
2.362556047529947634e+00 2.034807651923480876e+02 -6.437372626273734078e-01 3.696569344090948107e+03 9.814537385995911797e-04
2.337465819873579154e+00 2.293579864201358021e+02 -6.676140238597617627e-01 3.414134154335641142e+03 1.023931318522714124e-03
2.312477360171396157e+00 2.437008829911700900e+02 -6.851638483615158925e-01 3.245547033171253133e+03 1.039763854278147976e-03
2.287522639828603932e+00 2.661979180208197704e+02 -7.083013669863299500e-01 2.682724163378133653e+03 1.026740824541590982e-03
2.262534180126420935e+00 2.861767382326176516e+02 -7.311375386246139474e-01 2.094043054227009634e+03 9.672972850726015842e-04
2.237443952470052455e+00 2.992097479025209736e+02 -7.492892071079289007e-01 1.683855444019694914e+03 9.161278470451918871e-04
2.212182256068722541e+00 3.087892521074789443e+02 -7.646354536454634809e-01 1.563408674825257776e+03 9.004553742586375196e-04
2.186676526165378220e+00 3.222537774622254005e+02 -7.836165138348617498e-01 9.660207201801468955e+02 7.954969716415960946e-04
2.160850020474117450e+00 3.299344406555934484e+02 -7.984164658353409827e-01 8.749387222168260223e+02 7.558215156769408725e-04
2.134620321609267179e+00 3.380819191808081996e+02 -8.126556234437642967e-01 6.033327413216419473e+02 6.850636317162019963e-04
2.107897577683503165e+00 3.460604993950060475e+02 -8.275523244767538644e-01 3.685099220183828379e+02 6.069286360015730894e-04
2.080582379714265517e+00 3.522889771102288705e+02 -8.410509394906036107e-01 2.734165819550980814e+02 5.527187915723925970e-04
2.052563139456503372e+00 3.569203307966920420e+02 -8.524405755942434659e-01 2.123794270456226911e+02 5.249286281077303502e-04
2.023712779050315991e+00 3.610735092649073295e+02 -8.638158618413818157e-01 1.887010802715199986e+02 4.913494017646706600e-04
1.993884465090035141e+00 3.652247677523224638e+02 -8.746782032179700739e-01 1.516013146647476901e+02 4.478281822268612546e-04
1.962905998823323062e+00 3.691661283387165895e+02 -8.857489425105783409e-01 1.119684658333732585e+02 4.045147312866650361e-04
1.930572284582846354e+00 3.724208757912421106e+02 -8.957326926730777572e-01 9.711219231369136651e+01 3.837643921810358363e-04
1.896634993418636395e+00 3.756240037599624202e+02 -9.055789942100631595e-01 7.532042662708732905e+01 3.419029121792332374e-04
1.860788032905444478e+00 3.785943540564594514e+02 -9.153746962530414644e-01 6.302893441602382296e+01 3.166118337068996405e-04
1.822646565455256829e+00 3.812293877061229637e+02 -9.243915060849396959e-01 5.166090395307862337e+01 2.945568982067542168e-04
